User Name,Review,Rating,Date of Review
JJ_84,"It was fine to call through the program, but the positioning does not work as it should. Gave wrong location information.",3,2016-01-18
Yulmur,"Really, this location should be on all the time to work during an emergency call. However, this consumes the battery considerably, so it should not be kept on. In the moment of emergency, in a state of shock, the positioning did not work for this reason, and on top of that, I advised the fire department in the wrong direction. Fortunately, passers-by quickly corrected the situation and we got the right direction to the emergency center.

I wish the positioning would work when using the application.",3,2019-05-26
Olli 12345,"A clear and well-functioning application! Thank you !

NOTE EVERYONE: Despite the wording of the settings, positioning is NOT on all the time! Only the always selection is so that the positioning would work when an emergency call is in progress!",5,2016-02-16
samikki,"The call is successful through the application. The location has not been tested as such an emergency has not occurred yet.

For those who want a ""not in the background"" option for location, have you realized that during an emergency call, the application moves to the background when the phone application becomes active? Then even positioning wouldn't work if it was prohibited in the background.

The battery consumption caused by the application can be monitored under ""Battery"" in the settings. From there you can clearly see that this application does not consume the battery. If you have tested the program, you will naturally see a small amount of use there. Under normal circumstances, an unused application does not consume the battery at all.",4,2016-04-11
Keksimonsteri,"For some reason, the push notification notification cannot be found anywhere in the application, and it does not open when the notification is tapped. Wouldn't it be good to have them readable somewhere, if it is swept away from the notification center?

In addition, the order of the announcements on the announcements tab is somehow random, and you can't rearrange them. Wouldn't it be nice to have the latest ones at the top right away?",3,2021-01-26
Henkka V.,"iOS 12 and later versions support sending location information during an emergency call anyway, so the only significant additional benefit of this app is receiving local emergency notifications. For that, however, the application requires unrestricted access to the GPS location, which it also uses diligently (at the expense of the battery). More harm than good, in my opinion.",2,2020-01-29
Virittäjä,"Location is of course a great thing and in many cases it helps a lot, but the application could also have the user's basic information.

Locating to an apartment building with a business connection does not yet lead to/bring the emergency services there.

Similarly, there could be a place for information about the user's basic illnesses and medications, so that the emergency center would immediately have all the relevant information available.",4,2016-02-11
Harmin paikka,I wondered for a couple of days why the iPhone 7's battery is dwindling at a tremendous rate. Then I checked the situation in the battery settings and I was surprised: the 112 application has been running in the background for more than 20 hours during the day and has consumed 65% of the battery's energy. This error must be corrected!,2,2019-11-24
Digipoju,"The iOS interface could be used for danger notifications, so that the notifications are received even when the phone is on silent/do not disturb mode.

There is also iOS's own interface for locating emergency calls, so this application is useless in that sense as well.",2,2022-02-11
Tontuu,"Guide Tampere's Sokohotelli as the nearest defibrillator in Turku. Otherwise, absolutely great!",4,2021-08-29
mcjori,"but the ads are mostly irrelevant. Push notification for every service interruption and traffic bulletin 100km away? As a rule of thumb, 112 messages should only be about critical, pressing matters.",2,2021-02-22
Kivakaveri,"Despite previous evaluations, the application does consume battery in the background. This obviously depends on how much you move during the day. On some days, there has been 40 min of background activity. and then sometimes only 2 min. Could it be because of those ""local notices"" that you have to apply for them again in each location? The consumption is still not massive, but there are apps with similar features that don't use the battery that much.",3,2019-04-27
Skuattis,"Same problem as others, the app is active in the background almost all the time and has become the biggest battery consumer along with heavy games. Forced to limit location rights",2,2020-02-02
javitutole,"Location always on?! The battery runs out of this. Before the hazard notice flashing, positioning was on, only when using the App... They ruined a handy app with this flashing?! BAD !",1,2019-12-05
Tzar5846,"Battery consumption has gotten out of control with the version update. The app, which used to spend a quiet life, now consumes 50% of the iPhone 7's battery during 8 hours of the night. You can also check this in Settings: 112 Finland, Background location",2,2019-10-13
