Review Id,User Name,Review,Rating,Date of Review,reviewCreatedVersion
643cf74e-b770-4241-bd52-f913ddcb204d,Jan Arvid Vikran Kippe Brøndbo (Jabba Moon),This is a very easy and intuitive application - something that is very practical in a possible emergency situation where it is not so easy to maneuver through menus and look for what you need in the given situation. Here you have access to the appropriate help center in any given case.,5,16-01-2023,6.0.9
2c3e9ecf-68c4-4c6e-ae5e-f0f3a6c0397e,René Lie,"Installation and setup went very well. Good initiative and nice app! It would be nice to have some way of testing that it actually works as it should, because you can't call the emergency services to check that the app is working...",5,13-11-2022,6.0.9
17dd056d-f4bd-4f30-87fb-48324fd61c64,Frode Fredriksen,Doesn't work on my Android-based Motorola. The app thinks it cannot access the internet despite the fact that the phone has access both via wifi and the telecom operator.,1,09-11-2022,6.0.7
247afb08-af6d-45bd-a61b-a7261af7eec3,Tore Adsen Dagsvik,"I think the app should change its name to ""113 Help"" so that it loads first, as the apps are sorted alphabetically. 🙂",5,09-11-2022,6.0.7
e1a9cffc-de18-46e9-a31e-8b917e65bb62,May-Britt McNeill,Can't get the mobile number registered despite internet. Tried both with wifi and mobile data. I see that several people have the same problem...,2,27-10-2022,6.0.7
a7caa9e9-09d5-4ab3-94ee-ee9171d2df08,XGN Glint6,I am very satisfied with the service you provide to your members. Hang in there and you will do your best.,5,19-10-2022,6.0.7
c6e698f2-8985-45cf-a5c4-cf669c757846,Synne Fredriksen,Can't register my phone number in the app even though I'm online. Tried both mobile data and Wi-Fi.,2,19-10-2022,6.0.7
03049230-bde7-4536-863f-771b301002c8,Nils Johan Persen Utsi,Installed the app today. Can't get internet access despite the mobile being online.,3,15-10-2022,6.0.7
02e5ef1f-e53d-4cba-a5c5-236fe4841e7c,Erlend Sandvoll,"Yesterday I was in a situation where I needed the emergency services. I tried to call 113 via the app, as this was in a place where the address is difficult. It did not work. The phone app was opened and it said that it tried to call 113, but nothing happened. When I exited the app and manually dialed 113, I got contact and help. There is good coverage on site. I have a OnePlus 7 pro with the latest update on OS and app.",2,09-10-2022,6.0.7
ceed7523-dc84-4db4-8017-481b54e50126,Jørgen Øksenholt,"The app sends GPS signals to the alarm center, so they find the accident victim almost immediately!! 👍🏻",5,12-09-2022,6.0.1
0b33a900-851e-4414-983a-9b27bdfdf744,Roland Böni,Does not ring automatically after pressing the button. Otherwise it works well,4,19-08-2022,6.0.5
1b3046eb-e131-494f-8ddf-a8df26bd8012,Ståle,"Having problems getting my phone number approved. The app says I don't have internet, but I have both mobile network and Wi-Fi connected when I had to enter the number. I have also uninstalled and restarted the phone and nothing helps. Bug? Have Samsung note 8.",4,15-08-2022,6.0.5
5af061e5-e6fb-4801-ba34-bb81890dd12f,Inger Anna Lise Sandby,Great. Thank you.❤️,5,14-08-2022,6.0.1
0c171633-62b5-4e4d-b9b4-52bdc6f495e9,Lise Halvorsen,An absolute must have app.,5,04-08-2022,6.0.1
f06438fe-bab3-478f-a814-cae04fed1106,Nils Arne Bakke,This was a good app !!!,4,29-07-2022,6.0.1
212e6852-08c9-4700-8cac-a49c0f50d09c,Bodil Holm,Ok,4,23-07-2022,6.0.0
cd20f222-4c84-4255-8444-ff4161e76fb1,per johan hansen (Pohan),It's probably the most important app you have on your mobile I'm not a paying user but I will be,5,19-06-2022,5.0.12
0284491d-348f-4bd0-bfc7-1060f8968870,Henrik Skramstad,Very good!,5,13-06-2022,5.1.2
6751745c-5605-4d1a-832b-6e80a0a2154e,Caroline Sophia Bugten,My old job. Help support &lt;3,5,15-05-2022,5.0.12
b3d615b2-0baf-457c-af7d-cd79b41c7644,Odd Arne Ottosen,👌☀️😎🐥🐣🐥,5,10-04-2022,5.0.12
ca286ca4-fc0f-4a71-9c34-56616c2db7e7,Hege Christin Samdahl,"Not working. Have been trying for 6 days to get a code via sms to activate, but never receive any sms. Didn't work after updates pour Reinstalled 1 year later, still doesn't work. Can't get an SMS to activate.",1,05-04-2022,5.0.12
8d156f35-8928-4080-ae14-cc061a1ef0e8,Thoralf Søndbø,Great App,5,31-03-2022,5.0.12
d50470e7-4457-4ce6-a438-df0ef857ac10,Monika Sundkjer,"Was picked up from Rykkinn center in mid-March 2022. All the emergency services were alerted and arrived within minutes. I entered the emergency room at Bærum Hospital. There I was welcomed by many pleasant doctors and nurses. They were very efficient and I can praise everyone who helped me and be very grateful. Monika Sundkjer, Sandvika.",5,31-03-2022,5.0.12
77a22889-29d4-4a37-9ad1-a91fdf4580d5,Irene Haug,Easy and quick to install.,5,30-03-2022,5.0.12
327e54c3-d879-4279-a972-798079854fbb,Anne Lise Førland,Fantastic response time when it was a matter of life or death. Forever grateful for 113 Haugesund.,5,30-03-2022,5.0.12
306edc42-7710-4c54-9bb2-226f63525f21,Tor Arne Løken,Gives security when hiking in forests and on the plains,5,29-03-2022,5.0.12
4ec2e4e0-4c5a-4579-898c-a108b92c020c,Birthe Christophersen,Top,5,01-03-2022,5.0.12
48036c79-d2e6-455e-a558-49aa44005e6c,Arild Rørvik,Incredibly important and easy to use should something happen to you or others near you,5,27-02-2022,5.0.12
58345b4f-af71-4362-a744-08f52a4b37e6,Kjetil med familie Kjernsmo,"Hope I never need it, but have it on all devices just in case.",5,20-02-2022,5.0.12
dca9e718-e497-446f-91cd-86ad4a822a71,Vegard Eikill,"Positioning doesn't work. Have a samsung s10, so should be a good enough mobile phone for the app. Worked before, but not now. Couldn't find a solution online. Some of the point then falls away and the app only gets 2 stars.",2,17-02-2022,5.0.12
80899145-98e8-49c0-91a6-7bae6e717933,Aud Bjørnsen,Thank you,5,25-01-2022,5.0.12
e0db9f3a-8ed6-46a2-9ba6-b98042825b27,kjell stensland,Something we all citizens need,5,18-01-2022,5.0.12
4df6be4c-cedc-4334-b6dd-846117ce75e7,Atle Johannessen,Completely useless. Impossible to get it to pick my location. Have granted all permissions. Probably doesn't support 5G lol,1,21-12-2021,5.0.12
d0ff4af6-e2bb-4b17-ae34-2545fc9bacf2,Tore Moen,"Good, Accurate showing where I am/live",5,23-11-2021,5.0.12
e2d22361-b0e2-4fe0-afef-9c484bdad2fd,Tor Furnes,👍,5,08-11-2021,5.0.12
