Version,ReleaseDate
1.1.0,05-12-2022
1.0.26,13-06-2022
1.0.25,02-05-2022
1.0.24,05-01-2022
1.0.23,16-12-2021
1.0.22,08-04-2021
1.0.21,22-01-2021
1.0.20,13-01-2021
1.0.19,20-11-2020
1.0.18,16-11-2020
1.0.17,20-10-2020
1.0.16,19-10-2020
1.0.15,29-09-2020
1.0.14,17-09-2020
1.0.13,01-07-2020
1.0.12,25-06-2020
1.0.11,12-04-2020
1.0.10,20-04-2020
1.0.9,26-03-2020
1.0.8,24-02-2020
1.0.7,12-12-2019
1.0.6,07-11-2019
1.0.5,06-11-2019
1.0.4,10-10-2019
1.0.3,26-09-2019
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
