Review Id,User Name,Review,Rating,Date of Review,reviewCreatedVersion
2f2af60f-daaa-40ba-9848-9ed1bbceb5c5,David Björkevik,Says it doesn't work properly if it cannot log location at all times. Which drains the battery. Has to uninstall.,1,14-01-2023,1.1.1
d88c2844-6d87-4241-9561-8714415ea21e,Augustus the Roman Otter,The app and the concept in it of itself is good but I'd prefer not having my location be pinged 24/7 since it drains the battery like hell. Would be nice for it to ping my IP once in a while but not allowing it to constantly be turned on.,3,15-10-2022,1.0.16
df03dd06-c7ac-4e2f-9de2-3423da820a05,Kathrine Spang,Appen fungerar inte alltid sådär toppen men när ett VMA gick igår larmade den högt som sig bör. Dock har den en bug larmar den också högt när meddelande går ut att faran är över.,4,10-10-2022,1.0.27
2fcb05c6-e546-45fc-ac01-fea983acc381,JOHN.YOK. KOK.CHOY.,Human rights is important or not?,5,07-10-2022,1.0.27
aeed4cc4-7a64-4486-a52b-e0c54b45b551,Jordan Woka,"App doesnt work for me anymore. I have been in contact with the support and sent various pictures of all my settings. They replied in the beginning, but I guess they just decided to give up instead of helping me.. Last reply I sent with all pictures was on 13/07/22.. Case: 0994000000609",1,16-08-2022,1.0.27
ee598c5c-ca1f-485e-9c98-578c7d15b7ee,Daniel Raniz Raneland,It eats up about 20% battery a day lately,2,09-08-2022,1.0.17
28babf43-6a7e-4bc0-bd8a-43b6d427dfb8,Dag Lindwall,Why is this app not available in English?,2,08-06-2022,1.0.26
934b19cc-68c7-4a28-ac13-4ade08366743,Odizihr,"The app is great and it does its work, but its having a problem recently. It's telling me about location, that I should have it on all the time and I do have it on. Has been that for days now and its annoying.",4,15-05-2022,1.0.26
686c1641-8642-45e4-b994-dcec8da7ab28,Mathias Landell,"Just unintsalled it. It was to noisy and disturbing with no settings to change. Support, none. 2 messages with no replies. I liked the app at the start but someone whent ahed and made it bad.",1,12-05-2022,1.0.26
7c247570-35ce-4155-8245-a96274feae5c,Nermin Sacic,Funkar sådär.,3,26-04-2022,1.0.17
6ec7a056-e040-4818-976b-e7db5472a187,Christian Greven,Update. Det funkar toppen,5,26-04-2022,1.0.17
e95be95b-c2ad-4f91-b4dc-0b0540294c2a,Adam Söderberg,"Gillar idén med appen och den verkar fungera bra. Dock drar den väldigt mycket batteri, runt 25% om dagen enligt min LG V30.",3,30-03-2022,1.0.17
9361e3b5-e7aa-4402-919d-d440e1dcf0fe,Oscar,"Verkar dra orimligt mycket batteri nu igen Minns att det var ett problem vid lansering, men blev snabbt åtgärdat. Nu tycks det delvis vara tillbaka. Kör en Oneplus 8 PRO med senaste Android/uppdateringar",3,25-03-2022,1.0.17
6003515d-98bb-4646-a493-f3c3ae919c6e,Linus Sjövall,"Simple to use, and doesn't spam with notifications, they only come whene there is a real problem in the local area.",5,16-03-2022,1.0.17
59d36b07-9879-4706-ba38-26236d9350fd,Leonard Vestberg,Drar av någon anledning 6% om dagen i bakgrunden utan att öppnas. Annars bra,3,15-03-2022,1.0.17
7b7de6da-c064-4013-a351-5ed9c9bed2f2,Tomas Andersson,"Bra idé, dålig app. Sätter av någon anledning på DND på telefonen så att jag missar samtal och sms, dessutom är notifications dåligt genomförda. Edit: svaret säger att appen inte har behörighet, men min telefon (OnePlus nord) säger uttryckligen vilken app som satt på dnd-läge och det är sos alarm. Så vet inte riktigt vem jag ska tro på",2,12-03-2022,1.0.15
6fc53af3-f84b-4236-a125-f3090a8a4168,Tim Hulterström,"*Edit: Glöm texten nedan, helt mitt eget fel. Jag har Blockada aktiverat som automatiskt blockar trackers och liknande. Appen funkar efter att jag whitelistade den. -------------- Fungerar inte alls på Android, vid första steget att godkänna villkor så säger den ""Något gick fel"" och kommer inte vidare. Även om jag rensar cache och user data och ger den full access till allt så är den fast. Jag har en Pixel 4a 5G med Android 12.",5,11-03-2022,1.0.17
758fe6db-f77f-44af-b87d-73a07343e841,Pierre Ossman,Tjatar med konstant notifiering trots att man avaktiverat allt i appen. Ska inte behöva blockera den bara för man vill ha ett sätt att ringa 112 med pålitlig information om plats. Kanske läge att dela till två appar och sluta blanda nödsamtal med information.,1,19-02-2022,1.0.17
78faa58f-59d5-433a-ade8-b213901433ab,Pontus Brodèn,Getting notifications I cannot get rid of in the list is not acceptable.,1,18-01-2022,1.0.17
db7bb38a-f993-4dd1-82d7-123b874c7458,Christian Gylling,Now came a new update where everything seems to be working fine.,5,17-12-2021,1.0.16
4df6ad38-c409-4469-8a1a-2546b5645959,Jakob Ekelöw,"Unable to verify the phone number. I enter my number several times, both with and without the country code, but I never receive an SMS or similar. I've tested at various times during the day.",1,13-12-2021,1.0.15
318916c5-7765-4104-9e43-1025ddc39453,Magnus Berg,"Thought you had fixed the battery drain problem, but now suddenly you've drained upwards of 50% of my battery per day so now it's going out again. OnePlus 5. The app is 'optimized' and I saw that it was active for 10 hours today, so you probably can't complain about either the GPS or the OS. It's simply the app that does a lot unnecessarily.",1,04-11-2021,1.0.15
1601c054-bba7-4199-a19a-7252c0ffd2f0,Alexander af Trolle,Trying to do more than just being an SOS aid.,1,02-11-2021,1.0.15
e6c4bb07-0a0a-4e13-b7fe-1f016d7aa1bc,Ola Berg,"Not much to say, it does what it claims I guess. However, I have not tested it's man functions yet (need some kind of emergency for that 🙂).",3,13-10-2021,1.0.15
92f43f16-f8fe-4d0a-9b2b-a50f51c1aa97,Free Free set me free,English please so many strangers live in Sweden. Thanks.,1,21-09-2021,1.0.15
415bb10e-cd3b-4787-bb1b-eb6a01ea430e,Mark Mathur,Great app,4,01-09-2021,1.0.13
af47d738-85f5-4bf7-ab2b-4e3140503815,Ioan Apostol,"Horrible. Swedish language only (foreigners can get lost, right?), and always stays on in the background. Burns 38% of my battery per day. And features are minimal. If you have GPS signal to use the app, better stick to Google maps instead.",1,29-07-2021,1.0.13
10cbd19d-ab88-452c-bdc7-109bceb3ba7d,Anders Johansson,Does not open the app when clicking notifications any more.,4,07-06-2021,1.0.13
d5a113c1-90ef-4719-844d-b23be2b902c0,Pigge Littgren,"Can't turn off background location (or rather, I did in the app, but I guess the app thinks it knows what I want, better than I do) at least android tells you about this so you know and can decide for yourself if you want to keep the app or not.. For me, that choice is the latter.",2,20-05-2021,1.0.15
