Review Id,User Name,Review,Rating,Date of Review,reviewCreatedVersion
6fc9faae-5dfa-4ebc-b1e0-2cb03b77eb85,Marco Vismara,It's a good app but why this app is not available in English? It is incosiderate and divisive assuming that every person who is in Sweden speaks Swedish.,2,2023-02-15 14:58:36,1.2.0
2f2af60f-daaa-40ba-9848-9ed1bbceb5c5,David Björkevik,Says it doesn't work properly if it cannot log location at all times. Which drains the battery. Has to uninstall.,1,2023-01-14 23:58:55,1.1.1
d88c2844-6d87-4241-9561-8714415ea21e,Augustus the Roman Otter,The app and the concept in it of itself is good but I'd prefer not having my location be pinged 24/7 since it drains the battery like hell. Would be nice for it to ping my IP once in a while but not allowing it to constantly be turned on.,3,2022-10-15 15:30:31,1.0.16
df03dd06-c7ac-4e2f-9de2-3423da820a05,Kathrine Spang,Appen fungerar inte alltid sådär toppen men när ett VMA gick igår larmade den högt som sig bör. Dock har den en bug larmar den också högt när meddelande går ut att faran är över.,4,2022-10-10 09:10:59,1.0.27
2fcb05c6-e546-45fc-ac01-fea983acc381,JOHN.YOK. KOK.CHOY.,Human rights is important or not?,5,2022-10-07 19:21:48,1.0.27
aeed4cc4-7a64-4486-a52b-e0c54b45b551,Jordan Woka,"App doesnt work for me anymore. I have been in contact with the support and sent various pictures of all my settings. They replied in the beginning, but I guess they just decided to give up instead of helping me.. Last reply I sent with all pictures was on 13/07/22.. Case: 0994000000609",1,2022-08-16 00:27:50,1.0.27
ee598c5c-ca1f-485e-9c98-578c7d15b7ee,Daniel Raniz Raneland,It eats up about 20% battery a day lately,2,2022-08-09 17:34:38,1.0.17
28babf43-6a7e-4bc0-bd8a-43b6d427dfb8,Dag Lindwall,Why is this app not available in English?,2,2022-06-08 11:38:53,1.0.26
934b19cc-68c7-4a28-ac13-4ade08366743,Odizihr,"The app is great and it does its work, but its having a problem recently. It's telling me about location, that I should have it on all the time and I do have it on. Has been that for days now and its annoying.",4,2022-05-15 11:18:59,1.0.26
686c1641-8642-45e4-b994-dcec8da7ab28,Mathias Landell,"Just unintsalled it. It was to noisy and disturbing with no settings to change. Support, none. 2 messages with no replies. I liked the app at the start but someone whent ahed and made it bad.",1,2022-05-12 10:59:26,1.0.26
7c247570-35ce-4155-8245-a96274feae5c,Nermin Sacic,Funkar sådär.,3,2022-04-26 21:42:09,1.0.17
6ec7a056-e040-4818-976b-e7db5472a187,Christian Greven,Update. Det funkar toppen,5,2022-04-26 02:53:51,1.0.17
e95be95b-c2ad-4f91-b4dc-0b0540294c2a,Adam Söderberg,"Gillar idén med appen och den verkar fungera bra. Dock drar den väldigt mycket batteri, runt 25% om dagen enligt min LG V30.",3,2022-03-30 00:00:11,1.0.17
9361e3b5-e7aa-4402-919d-d440e1dcf0fe,Oscar,"Verkar dra orimligt mycket batteri nu igen Minns att det var ett problem vid lansering, men blev snabbt åtgärdat. Nu tycks det delvis vara tillbaka. Kör en Oneplus 8 PRO med senaste Android/uppdateringar",3,2022-03-25 16:28:41,1.0.17
6003515d-98bb-4646-a493-f3c3ae919c6e,Linus Sjövall,"Simple to use, and doesn't spam with notifications, they only come whene there is a real problem in the local area.",5,2022-03-16 11:14:51,1.0.17
59d36b07-9879-4706-ba38-26236d9350fd,Leonard Vestberg,Drar av någon anledning 6% om dagen i bakgrunden utan att öppnas. Annars bra,3,2022-03-15 22:23:25,
7b7de6da-c064-4013-a351-5ed9c9bed2f2,Tomas Andersson,"Bra idé, dålig app. Sätter av någon anledning på DND på telefonen så att jag missar samtal och sms, dessutom är notifications dåligt genomförda. Edit: svaret säger att appen inte har behörighet, men min telefon (OnePlus nord) säger uttryckligen vilken app som satt på dnd-läge och det är sos alarm. Så vet inte riktigt vem jag ska tro på",2,2022-03-12 02:17:47,1.0.15
