,User Name,Review,Rating,Date of Review,Sentiment
0,Flane68,It seems really good but I'm missing ONE thing that I saw right away and that's a widget for it for quick access on lock screen.,4,26-08-2019,-1
1,Golihat,"The app would have been great if it wasn't so limited.
This is just one of the few things that must be implemented immediately:

To be able to search in areas and get real-time information.

Being able to share your position through registration when you call 112 (without calling via the app) should be a matter of course, but does not currently exist. Would make it easier for both users and staff at SOS.

Adding a Message function, for those who need to contact 112 in silence or are unable to speak.

Multilingual support and selectable in settings.

Be able to delete messages you have already read and do not want to see.

Be able to see the history of events in the area you searched for/are in, 24 hours back in time.

Make sure the servers are working 100% as the app often loses communication with the information flow.",3,26-08-2019,1
2,stinade,"The top with an app that shows location. But I, as a hearing impaired person who has been granted the option to text 112 instead of calling, would like to be able to do that via the app as well.",4,26-08-2019,1
3,millemiglia,"Works well on the iPhone, but for the full pot I would like to see an app for the Apple Watch where you can alert 112 with position entry with a push of a button...",4,20-09-2021,1
4,CU 'n' HELL,"It should be standard that this application would already be pre-installed in ALL mobile phones sold in Sweden today!!!
Regardless of operator, mobile brand, model or operating system version!!

//Peppe ツ",5,26-08-2019,0
5,Studenten1990,"Great app! I an unregistered number, one suggestion is the possibility that you can voluntarily enter the name and/or social security number sent with so you know who it is that is calling ",5,02-10-2019,1
6,funko philip, Live in Stockholm ( Usually happens a lot ) but have never received anything regardless of whether you have on always show position,1,02-10-2022,0
7,Tigerhonan,"What's the point of this app when no current events come up? For example, in the event of a fire, nothing will come out which could be good for the public to know ",1,12-09-2022,-1
8,Johan Partanen," Doesn't work, crashes after 1 second. Please fix!",1,01-01-2022,1
9,MacMarsl,"After the last automatic update, I can't use the app anymore on my Iphone 6. Without explanation what's wrong, I can only guess that users of older smartphones are not welcome. Shame, because I've been really happy with the app otherwise and have recommended others to get it.
Tip: You can keep the older version of the app for those who don't want or can buy the latest over the phone.",1,25-12-2021,1
10,fijcfrhj,"Always when I get a ""ping"" about a new event and a notice on the screen, I go into the app but there it says the top of the green field ""no current events"". Clicks on that text and comes to current events where there is indeed an event.
Going back to the start page and now it says in red ""(a) current event"".
Have submitted an error report via the app about this but received the reply that completed events are not visible on the home page.
But these are _current_ events that are not visible on the start page.
In the beginning I missed a lot of info because it incorrectly stated that there were no current events.",3,25-01-2023,-1
