User Name,Review,Rating,Date of Review,Review Id,reviewCreatedVersion
Asmaan,"Very good app, but misses better utilization of widgets. I struggle to find apps when I need to charge the car, and have no reason to believe that I will find this app any faster when it comes to life.

A small widget/icon on the lock screen on iOS to open the app would have made this much easier.",4,2022-12-02,,
Per56,"Latest version of the program crashes on startup. Tried the tricks in the book such as deleting and reinstalling, hard restarting the phone (iPhone SE, iOS 10.3.2) All without effect. Worked without issue before update.

Edit: Quick response to reported error. The app works as it should again. Thumbs up!",5,2017-06-12,,
Petterfs,"It would have been great if this app had also worked on the Apple Watch, so that you could send your location and call even without the phone available",5,2021-01-26,,
fjellturløper,"Yesterday we had to call for help due to an accident. The accident took place on a mountain trip and we did not know where exactly we were.
We immediately thought of using the Hjelp 113 app because we knew that the app should find our location.
And it turned out to be the best solution.
We received help very quickly from both the fire brigade and an ambulance which arrived at the same time.
Impressive, well-functioning coordination between the Emergency Medicine Communications Center and the Fire Service.",5,2019-06-09,,
kaare_vale,"Hello

In the event of, for example, a brain haemorrhage or other factor that causes a loss of speech, how do I get emergency help when it says seconds??",5,2022-04-28,,
pallov,"The only thing I would like in addition is the option to save the next of kin, if you were to use the app in your own case 🙂",4,2022-12-02,,
fornøyd29567,"Very nice concept, but at least where I am, the map is wrong, and my position is several kilometers away from my actual position.

Maybe this only applies to my phone, but if this isn't the case, does that mean that the app can't help me be found?",4,2020-08-30,,
Hovedbra,I can't register my phone number. The app asks me to check connection but I have full coverage and am on both wifi and 4g with no luck,3,2022-08-15,,
iggs9,Cannot complete activation on iPhone 13 mini with iOS 15.6,3,2022-08-14,,
Flippklipp❤️tix❤️,It is very good for help if you need it😝😧💖,5,2021-12-10,,
Arloutleier,"This app should be used by everyone have. Often it can take minutes to save lives. It is then important to call for help quickly and to the right place. Both in forest and outback, as well as in the mountains. Not least also if you get into or see a car accident and can then state exactly where you are and in which direction the accident is!
Download you too and recommend it to others!!",5,2021-03-17,,
summertime sally,Unable to proceed after reading declaration. Can only go back. No other options,1,2021-01-29,,
storfjellsnissen,Doesn't work on a mountain trip where you don't have coverage.,3,2021-01-03,,
Et annet navn,"Read terms and register are on top of each other in the screen, and when you press register you get to user terms. This is too bad! By the way, I have an iPhone 8 Plus, so I can't blame the size",1,2020-09-24,,
Odaemili3,The app can't find my location. I live very centrally. Delete this app.,1,2020-09-15,,
