,Review Id,User Name,Review,Rating,Date of Review,reviewCreatedVersion,Sentiment
0,97c4bb2e-f2d1-4f80-859c-2f9528034fab,Rauno “rane58” Härkönen,"All I need is the traffic bulletins for my place of residence, i.e. Uusimaa... Lapland's bulletins and alerts are pointless and disturbing... Remove those pointless alerts and get full 5 stars...!",2,30-01-2023,4.4.12,-1
1,4e46bdf9-107a-4e19-872c-ffaf951e9d58,Jere Hauhia,Requests the right to the movement history. A bit too much monitoring in my opinion...,1,29-01-2023,4.4.12,0
2,f03db662-ce20-48a1-9150-25e21a958db8,Anssi Immonen,Continually asks for permission to use location data and updates haven't stopped it,1,25-01-2023,4.4.12,1
3,fb391d3e-f18e-4636-be2f-37cabfecc7f9,Aki N,Continually begs for location data and won't believe if it's only used. Amateurs making an app.,1,25-01-2023,4.4.12,0
4,66c12669-2763-4b5e-8e0f-bcd163ca04b5,Matti Antikainen,It's rude to demand constant positioning if you don't want to. Quick fix or the application will be removed.,1,24-01-2023,4.4.12,-1
5,93059a9d-59bc-47df-913f-c12f3f898436,Helmi Ella,"Usability is now lost. If I don't give the right to locate all the time, the 112 will suck it up like a Tamagotchi. If I give permission, it warns me about broken traffic lights nearby, even though I don't even have a driver's license. Something borderline!",1,24-01-2023,4.4.11,-1
6,4f3c8555-23f4-4276-8c22-6c85d32b8a1a,Marko Peltonen,"Really annoying these latest updates regarding the location, no need to either time where I move",1,21-01-2023,4.4.11,-1
7,8cac8fa8-8a95-40f2-b9ef-d9f39f608334,Pasi M,"Ok. Until the last update. Asks for location information many times. After re-installation, I was unable to enter my own phone number. The number keys disappeared before I could press them. I deleted the app.",1,21-01-2023,2.0.0,-1
8,d85484b4-98ee-4f37-9d31-b106e3f4a365,Päivi Ant-Wuorinen,"It was a good and working app, now I had to turn it off when it started slandering the location all the time.",3,20-01-2023,4.3.3,1
9,e7d43d6a-59e8-4438-aba9-13b6466d497c,Pekka Järveläinen,"Location information and permits are not compatible with Android 13, please fix",2,20-01-2023,4.4.11,1
10,1cfe1b8a-7fe4-471d-819d-9f38ccab47d0,Jukka Myllymäki,Slanders the location all the time (begs) Fix it or I'll delete the app.,1,20-01-2023,4.4.7,0
11,8d482a5c-1ee4-492e-b3b8-5ce462df36e9,Tuomas Saloranta, Constantly asking for more permissions even though they are already on.,3,20-01-2023,4.4.7,0
12,8f5904de-a7df-471e-94d4-89446a873bae,Sari Nisula,"With the last update came a constant request for location permission. I hope this gets fixed. Apparently, the application would like to use the location all the time, while the previous definition was only when the application was running.",2,20-01-2023,4.4.7,1
13,7f8b9d39-f942-4093-8ff3-4fe1c71509f7,Timo Tuominen,"The new update messed up the app, shuts down by itself and insults about the lack of constant location information. Location allowed when the app is on.",1,19-01-2023,4.3.3,-1
14,32cf21e9-c508-4a4a-b083-c8a9d4fef3d7,Sanna Kallio,"The app constantly prompts you to check location data permissions. The application has all rights granted and ""always"" selected for the location as well. Is this a bug or a feature?",4,19-01-2023,4.4.7,1
15,b2b97ac3-7840-4165-857a-58e28c35974d,Tomi Piipponen,"Yes, it went bad in the last update. The location slanders all the time.",4,18-01-2023,4.4.7,-1
16,10a84010-c310-49a0-a68d-db365ae7d855,Pauli Lönngren,Ok 👍❤,5,18-01-2023,4.3.3,1
17,cebee05d-e3fa-43ac-866b-fdce5932b846,Wäiski Ilves,"This update messed up the program. Requires constant location information, even if permission is given in the phone settings: when the program is in use. Even turning on location actively still messes up, previous update worked fine. Many other programs also want to use the location, and turning it on consumes the battery unnecessarily. Unnecessary battery consumption is not good for soldering if you want the phone to be for emergency situations when there are no electrical plugs in the forest for charging. The same problem on 2 different phones...",2,18-01-2023,4.4.7,-1
18,8a2df9fd-2421-4876-9858-449308810296,Tomi Mutikainen,I wish I could still get this for a smart watch,5,12-01-2023,4.3.3,1
19,49d453d7-bc77-4094-a84e-b2437ea1c3d8,Anniina Kunnari,Excellent,3,07-01-2023,4.3.3,1
20,a84ceda3-7430-416d-91e0-c73577d3e171,Kari Jyrkinen,"Well, that's OK, but does the alarm sound have to be that one, I absolutely have to mute the notifications, where do you get the beeps when the laptop breaks down. I understand that guy's beeping, if a nuclear war has broken out, not when a bear has been seen on Utsjoki or Pitäjänmäki o Crashed... :D",3,03-01-2023,4.3.3,-1
21,2b6acf6a-d519-41cf-9126-d0a45aa28dbc,Foxsyl Vixen,Danger announcements and official announcements sometimes stutter really badly,2,27-12-2022,4.3.3,-1
22,e30c839e-01df-4bb5-9fd0-3d228dbe6412,Marianne Malkaniemi,The settings section could be clearer so that dangerous mistakes are not made regarding the settings.,3,13-12-2022,4.3.3,-1
23,551b8894-6eaa-4485-9b67-52dff104d507,Höpön Löpö,"I haven't needed it yet, but it's definitely a good application. The program could add an option to the user settings to force GPS positioning on when calling. Or, even NOTE that the GPS is not on. It also doesn't show any danger notices, even though there was a factory chemical leak nearby that was even in the news.",3,06-12-2022,4.3.3,1
24,22f0bb2c-58b3-4437-90d9-5a5ef0685cc7,Pihla K,Safe❤️‍🔥,5,04-12-2022,4.3.3,1
25,642e6882-914b-496b-becd-65ad5af95d1c,Mr. Kalevi,There is no function these days. It's the same as saving official numbers on the phone.,1,03-12-2022,4.3.3,-1
26,bd7f6496-efe2-4840-b0b8-8f8fca85c9d8,Kalle Vehviläinen,Good 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🙂🙂🙂,5,26-11-2022,4.3.3,1
27,f2054054-18c6-423a-9f45-d3e2fdb9565c,Asseri Katajamäki,Indispensable for many.,5,23-11-2022,4.3.3,0
28,2749eec7-98c7-4e25-bab5-be75ba4ac6f8,Emma H,really safe,5,03-11-2022,4.3.3,1
29,9bb4546f-f0af-4550-b808-70b1a7caeb08,rainbow2007,"The program is easy to use, only some information like resuscitation information for different situations could be added and logging out - the selection could be visible. An SOS emergency flash could also be necessary if the user can use it to indicate to others the need for help/a dangerous situation in the dark of the night. Fortunately, you were able to call with a normal number.",4,23-10-2022,4.3.3,0
30,d65dce6d-b66e-4c71-915c-72d4433b8980,Topi K,"The 112 icon disappeared from the phone screen, although I can open the page!",2,16-10-2022,4.3.3,-1
31,751715b4-17c0-45e5-b3ca-8aa380f77c56,Sinikka Lehtonen,Positioning accuracy 1300m when I'm at home. 👎,3,08-10-2022,4.3.3,0
32,26ba253d-94de-48ee-9950-3fa2d314eb35,Alex Mynttinen (Allu),Nice device,1,07-10-2022,4.3.3,1
33,5f684d25-7fd6-4eb2-b11a-bbeb3b9cbc20,Aulis Vainio,I've used it once in a real situation. There was no need to say the address. The operator saw it on the screen.,5,30-09-2022,4.2.21,-1
34,8a1bd294-bf6e-4018-b4b5-7e1eb11f246e,Ilari Rantala,Uijjui älä,5,17-09-2022,4.3.3,0
35,f371c3c5-630e-4d09-bb4c-dce6d11b1fb6,Mirjam Porkola,Good app,1,14-09-2022,4.3.3,1
36,5a121432-f29b-43d6-bd7e-1fe850de9fdc,Risto Alaluusua,Good,5,31-08-2022,4.3.3,1
37,64c80302-5ce5-4a9b-9fa4-2ecd956ffbc6,Jenni Koukkari,"The app itself does what it should, but I deleted it after it called 10 times when I accidentally put the emergency number in my pocket. So changing the lock screen settings was not a good thing...",5,26-08-2022,4.3.3,-1
38,66199677-933a-46a9-9f9d-de8c037f61b5,Tuomo Heiska,It's good to have this installed just in case. An important app.,1,24-08-2022,4.2.21,1
39,60c03505-ec66-4b3a-b7e6-d345bc2f266f,Aleksi,Specialist care Nova Central Hospital,5,17-08-2022,4.3.3,1
40,828a412b-3d16-4827-8dc1-dd3fe55e8b1d,Sari Johanna Haatainen,Works flawlessly,5,10-08-2022,4.3.3,1
41,59c87e3b-f214-4ba4-a23a-e77d8c11d77b,Samuel Äijälä,"Great idea, but in an emergency I would still call through the phone. Maybe you could add some other useful feature to the app so that you would remember its existence. E.g. congestion in on-call hospitals, etc.",5,07-08-2022,4.2.21,1
42,a48b825b-be43-4abe-b9bd-c81494aa2abe,Keisari_kumkvatti,"Very good and really necessary, if you're lost and lost, you'll be found 👍",4,05-08-2022,4.3.3,-1
43,9c6eff2c-b959-41da-a136-90da2f367b46,Sinikka Moilanen,Should be on Finnish-speaking phones automatically.,5,04-08-2022,4.3.3,0
44,4d059395-bddb-4ef3-b60f-8208749bb225,Aapo Helle,"Here you can also find other useful numbers, e.g. poisoning information center.",5,02-08-2022,4.3.3,-1
45,63e3956a-9768-495e-a811-edf069ccaa80,Pietari Padilla,The emergency center was asked for the location. The coordinates have not been sent,5,30-07-2022,4.3.3,-1
46,432c06b5-bdbd-451b-b875-3ed1417ec626,Pentagram 3,Emergency number,3,27-07-2022,4.3.3,-1
47,d29a57d7-eb04-4000-8918-9f118a3ae122,Tony Teperi,Useful when there is a crash somewhere on the roads.,3,23-07-2022,4.3.3,1
48,c010c0e5-f040-4010-888a-bf12c96823b2,Roosa F,"Works well for emergency calls, I guess, but when they send unnecessary danger messages that cannot even be muted. Even today, I thought I'd be able to sleep in peace for once, but these smart people are blaring the Merivaara alarm on my phone, even though I live inland. If there was any sense or if they could be muted, I would have kept the application in use.",5,21-07-2022,4.3.3,1
49,02d2b2dd-4a6e-4d5c-b268-f9be0a09eff7,Creakko,la aplicación está desinada para robar datos.😱,2,20-07-2022,4.3.3,-1
50,3a9e54d4-2d24-46db-9104-c33dfb724815,Aleksi Jalkanen,I've needed it twice already. Now the first apps to be installed on the new handset.,2,20-07-2022,4.3.3,0
51,56d3f23d-fb11-48f2-bcba-2e32405fdb01,Arto Paronen,Good,5,14-07-2022,4.3.3,1
52,944154fa-4d75-4003-b90a-62b0bfa823cd,Vertti Könönen,This should be on every cell phone.,5,10-07-2022,4.3.3,0
53,3bb76c4e-de85-4a54-8c56-5e9020f7fdbe,Janne Wikman,"Changes cannot be made to the application. Medication changes, diagnosis cannot be added.",5,30-06-2022,4.3.3,0
