User Name,Review,Rating,Date of Review,Review Id,reviewCreatedVersion
Shakes First,"The latitude and longitude are correct, I did notice the address is 1800 metres off. While I hope I never need to use the app, having doubts of its veracity in an emergency situation would cause more harm than any help. A way to calibrate it to a location you know, like your home, would be a good idea.",2,01-02-2023,a7dc8b64-3c92-4026-848a-386d47a782da,2.34
Kenneth Rankin,Showing the wrong address,5,18-01-2023,4384d72e-b081-4d64-b75a-ea8d32cafa3a,2.34
Shan Tilly,Yes a must have,5,11-01-2023,df16ae6e-b349-491f-a370-631e9c2761b1,2.34
Mike Suter,Excellent,5,07-01-2023,06d081e5-56de-494d-b032-24a43466c878,2.34
Robert Martin,Sets my address incorrectly even though the marker is clearly placed within my property,1,05-01-2023,e7109a5a-1107-4277-b5ac-2ec03677d24f,2.34
Qítiān Dàshèng Sūn Wùkōng (Andrew Dalgleish),"Location is truncated. If I can't read it now, I can not rely on this app in a real emergency. This app fails its primary function.",1,28-12-2022,864a1b9c-9e39-41f8-8204-6cabcf116c4c,2.34
KDE,Had the old version but can't load the new. I hit more info and get a message...your device isn't compatible with this version. 2017 Samsung A5.,1,27-12-2022,be24458b-9ed7-4e9f-881b-3f6316e6161d,2.26
Brian Howarth,It has my location wrong by 200m and can not let me adjust it to set my home location. So my actual location is wrong and can not set a home address. Freaking brilliant beaucrat POS.,1,14-12-2022,b62b7181-4e81-40aa-9a4e-739d7d38dcf6,2.34
Michael Idril,My location is not correct always wrong location,1,09-12-2022,b5497b33-7c08-4dd4-b602-9ef152e8a513,2.34
Joe Morrison,Gives incorrect street number. Emergency vehicle will be on the wrong side of the highway. Should be able to edit this address.,3,05-12-2022,7013ba02-fa4b-480c-9e9a-ed5a7adb0caf,2.34
M O'C,The 'What3words' section is cropped and doesn't display. Icons for the 3 services are miniature and unreadable. Rubbish effort,1,01-12-2022,dc0abfa6-8ebd-4238-b44c-2a0edee64c26,2.34
Alistair Woodford,"I've never had to use it yet, but this would be the number one app I would use incase I needed help.",5,27-11-2022,6c001e2d-92f9-46f6-baae-1772fa847041,2.34
Sandy Lewis-Christie,I have installed the app and checked my location. I have lived in this estate for nearly 7 years and the sub division has been here for nearly 9 years but it does not show on the location. Can you please fix?,3,22-11-2022,4412e5df-483d-4fd5-9046-9533edf3d8c4,2.34
Sonia Tillack,Very good experience,5,06-11-2022,0febdda3-69d6-4644-a2ad-082478a3cca3,2.34
Peter Vose,Fantastic use of technology,4,29-10-2022,d51ccc41-bd22-4744-a279-aa4662d3a9e7,2.34
Wayne Blenkiron,Gives wrong address so how do I know the rest is correct.,2,25-10-2022,95aacdd5-af0f-4677-9fb1-53cd69385ff8,2.34
R Johnston,"Locates correctly but can give an address 800m / 8 streets away. ""Last updated"" text can also be odd: ie ""19 years ago"". Must have to let it take time to settle down. SGS10.",3,24-10-2022,390ba2ce-88c2-44a9-b2e4-32c8f2bfbd54,2.34
Gabriel Berceanu,A good thank you,3,23-10-2022,bf4a9ce6-6252-4d4e-8bef-4bb20e12100c,2.26
ron willard,We,4,14-10-2022,834cb28b-cd2c-40fd-83d7-22a27ded85cf,2.34
Harpoon Hooper,handy to have,4,14-10-2022,2c46ad26-2f36-4a1c-aa47-2b04643fc88c,2.34
Gary Brown,"Rendering assistance to a lone dehydrated aged sailor at water's edge reporting as a ""concern for welfare"". Frustratingly with no road and no x-street to pass to 000 it was simple as saying Alpha, Bravo, Charlie where GPS and three words was spot on in guiding the ambulance close. ""if we can't find you we can't rescue you"", and day or night not all calls for assistance come with an observable street address or for that matter even on ""Land"", that's within a three metre square. Well done W3W.",5,25-09-2022,1d74ae46-83fe-4bdc-95bf-f457ea3b7b1c,2.34
Targs 35 (Targs),Great app. Sister put me onto it. Shame there is no way to update the home location as a gps location does work for when you are multi level residential building.,4,23-09-2022,fd2c1237-b3d5-4917-8323-017d3c4bb3a2,2.34
Gary Pitts,"Dangerous app. It thinks I am at my old address, some 50km from where I actually am. GPS won't update. Waze picks up my location correctly so it isn't a GPS or phone issue. This app is dangerous, it could send emergency services to the wrong location. It would be safer not to have the app and use street signs or landmarks or GPS coordinates from your phone to report your location.",1,16-09-2022,61ac2943-cede-433a-8e8b-f1aa0f4f7706,2.34
Steve C,Great 'just in case' app. Truncation of 'what three words' in primary and map screen may be problematic (unless font size significantly reduced impacting vision impaired individuals). When tapping info box from map screen all text increases in size and often pushes last of the 'three words' out of view/access. Better highlighting of additional services accessible through the menu may also assist those who haven't explored app prior to their emergency/crisis.,4,13-09-2022,71196640-467b-4cc7-80c4-40463099e32a,2.34
Peter Kirby,This is truly a life saving app,5,28-08-2022,0467a8e5-22f9-410c-9238-8bc52f94e16e,2.34
Douglas Haigh,Saved my life twice now how do you recommend it LIFE SAVING,5,24-08-2022,a07cf51c-7b30-4c39-9f86-f64024822c7d,2.34
Jennifer,"The app isn't working right since last update. Map and numbers are half covered up and can't read 3 words at all as its so small. Please bring back the older version, or explain how I can revert it back as it no longer works",2,22-08-2022,b51e8ccb-f352-4dab-95cd-d9b0ae0f4070,2.34
David Johnston,I just installed this and it has me at the wrong address,3,20-08-2022,59e1d4f1-0ca2-4d94-af73-fda4ddbcaee6,2.34
Mathew Hanrahan,life saving,5,15-08-2022,48c61c24-cdb5-4696-a124-e9ea3eaff6fd,2.34
callyn gryphon,"As a motorcycle rider,this is an invaluable app to have on my phone",5,12-08-2022,38ae78f0-d442-4c13-bf9f-d5481e1c339d,2.34
Steve Angus,"Crashes, unable to open",5,10-08-2022,4922a9fa-2b72-4038-8461-82f15aa16364,2.34
Floopyboo Tafka,"Location is about 500m out. In a residential area, this would have emergency services turning up to the wrong house -in my case half a block away and the wrong side of the street!",3,09-08-2022,9c7825a3-0aba-406c-85aa-beb7574b0325,2.34
Ian Shaw,This is a must have. If your unsure of the address were the emergency is just touch the app. There it is. All you need to get help.,5,03-08-2022,50cf892c-47f7-4c38-89c9-4fb5d9d81391,2.26
Dream Lifestyle,Most useful feature of the app GPS cordinates of the current location which is useful in an emergency.,3,30-07-2022,92f0c74a-d416-44c5-abc0-9a1e20b84f80,2.33
Vlad Wallachia,Most impressed,5,27-05-2022,95e3a112-f598-4fa3-aab1-a6a3174749b8,2.26
Rae Dowd,Awesome app great to have on your phone,5,24-05-2022,f65f826e-e917-457c-bd37-2ba2c84557e6,2.26
Jenna Daniells,"Not displaying my location correctly, more than 3km out.",2,22-05-2022,9637772b-b064-41d4-ad62-e6da85c03892,2.26
T James,"Your app sometimes displays the ""what3words"" text wrong between the ""Home"" screen and the ""My Location"" screen. At times on the ""My Location"" screen, the 3rd word is missing letters at the end of the word. But on the ""Home"" screen all letters appear. Thus, different words can be displayed when at the same location on the 2 different screens. If this review is monitored and your require clarification I have screenshots to illustrate.",4,20-05-2022,a1b24aef-1557-4267-9e8f-8c559a66a9da,2.26
Jason Shelley,Awesome... everyone should have this app as it may just save your life or the life of a loved one .,5,15-05-2022,f3496876-1e14-4fee-bc7b-4a80250589da,2.26
Robert Vanderwalle,Thank you You,5,03-05-2022,62cc194d-a361-4d89-b555-b8708b88286c,2.26
Grant Hutchesson,"Info blurb says (in the ""app permissions"" section) that you can disable access to permissions in settings. After downloading, the ONLY settings option is to change the font size of GPS coordinates... a blatant lie - not cool. Why should this app need access to the storage of my phone??",2,15-04-2022,00d5ce66-e38a-4978-8fb6-379da2b940e7,2.26
Patrick Ernst,"The so is generally good. I'd give it 5 stars but... the app has no exit option. Once started this app runs continuously until a Force Stop is used in settings, applications. This app only needs to run on demand NOT continuously. Please fix this flaw. It affects battery.",4,12-04-2022,43ed5028-dc8f-4e9e-8bb2-83e5c27e3cc0,2.26
Elizabeth Martin,"Just installed the app. My street number is 20. The app says I am 22, and I am sitting in the middle of my house.",3,11-04-2022,3a78060e-f976-4a7b-9859-89f76d351bcf,2.26
Harold Tran,I havent use it yet. Is there anyway/any app that can work from satellite signal on the phone where has no reception? Just for emergency in remoted area,3,10-04-2022,a477c5be-8816-414f-a2aa-d7b304c8618f,2.26
Louise Collins,000 should be swappable with the national relay service. All together items should be swappable on the first page,3,15-03-2022,4981387f-2c80-4676-bdb7-2522c088d68d,2.26
Kalps S,Worth having it.,5,14-03-2022,7db31c96-754d-4730-a631-e721083a305a,2.26
